CustomerID,InvoiceDate,InvoiceNumber,ProductID,Quantity,Price,Total,SessionDuration,DeliveryRating,ProductRating,Sales,InvoiceYear,InvoiceMonth,Gender_Male,OrderStatus_Completed,OrderStatus_In Process,OrderStatus_Returned,Country_Australia,Country_Belgium,Country_Brazil,Country_Canada,Country_China,Country_Egypt,Country_France,Country_Germany,Country_India,Country_Indonesia,Country_Iran,Country_Italy,Country_Japan,Country_Mexico,Country_Netherlands,Country_Nigeria,Country_Philippines,Country_Poland,Country_Russia,Country_Saudi Arabia,Country_South Korea,Country_Spain,Country_Switzerland,Country_Taiwan,Country_Thailand,Country_Turkey,Country_United Kingdom,Country_United States,Country_Vietnam,TrafficSource_Paid Advertisment,TrafficSource_Social Media,DeviceCategory_Mobile,Device_Laptop,Device_Smart Phone,Device_Tablet,OS_Linux,OS_Mac,OS_Windows,OS_iOS
9691,2019-01-01,26088332,32,1.0,0.915228426395939,0.9159226689937572,0.6536536536536536,0.4,1.0,0.9162655435218612,2019,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
8327,2019-01-01,95183269,34,0.0,0.47736040609137054,0.15781701013626903,0.5005005005005004,0.0,0.0,0.0,2019,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
6801,2019-01-01,44769684,64,0.5,0.3452791878172588,0.23239578438611797,0.009009009009009009,0.2,0.4,0.23552613985826978,2019,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
4406,2019-01-02,12422351,41,0.5,0.3158375634517766,0.2129287776062294,0.19419419419419418,0.8,0.8,0.2161385211926728,2019,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False
1966,2019-01-03,84352310,20,0.0,0.8189847715736039,0.27075921326441565,0.914914914914915,1.0,0.6000000000000001,0.27373311940098943,2019,1,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
6148,2019-01-03,53293645,10,1.0,0.18395939086294416,0.19064241122373632,0.7887887887887887,0.8,1.0,0.19394304051343764,2019,1,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4183,2019-01-04,22473410,46,0.5,0.08791878172588834,0.0622272940860576,0.15915915915915915,0.8,1.0,0.06605161117796497,2019,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
5979,2019-01-05,45762453,79,0.5,0.3254822335025381,0.2193059005168826,0.01001001001001001,0.0,0.0,0.0,2019,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
7656,2019-01-05,72918460,91,1.0,0.6726903553299491,0.6753708800429616,0.8278278278278277,1.0,0.8,0.676694745286803,2019,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
9953,2019-01-06,84161141,61,0.5,0.701725888324873,0.4680808216419413,0.16016016016016016,0.0,0.0,0.0,2019,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
1817,2019-01-07,81218452,31,1.0,0.42923857868020304,0.4339128683627576,0.35235235235235235,0.6000000000000001,1.0,0.43622141997593256,2019,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
6653,2019-01-07,85161028,33,0.5,0.2775634517766497,0.18762166879237427,0.4184184184184184,0.0,0.0,0.0,2019,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False
5162,2019-01-08,32023373,57,0.0,0.12040609137055838,0.039806672484392826,0.6596596596596596,1.0,1.0,0.04372242278379462,2019,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4825,2019-01-09,75330542,97,0.0,0.5636548223350253,0.18634624421024368,0.49149149149149146,1.0,1.0,0.18966439363551277,2019,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
1166,2019-01-09,29669465,22,0.5,0.408730964467005,0.27435054037725715,0.8138138138138138,0.8,1.0,0.2773098007755047,2019,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
8000,2019-01-10,68975681,84,1.0,0.3214213197969543,0.3269785862925421,0.5775775775775776,0.0,0.0,0.0,2019,1,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1712,2019-01-10,14535740,9,0.0,0.7371573604060913,0.2437067866013291,0.34634634634634637,1.0,0.8,0.24679101484155633,2019,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
6399,2019-01-11,29415165,39,1.0,0.41005076142131974,0.4148821910451769,0.8448448448448447,0.8,1.0,0.4172683513838748,2019,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
6379,2019-01-11,97024423,30,0.5,0.04934010152284264,0.036718802443444984,0.8248248248248248,0.0,0.0,0.0,2019,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
3256,2019-01-11,73294466,43,0.5,0.29888324873096445,0.20171846680539704,0.8168168168168167,1.0,0.6000000000000001,0.20497392699558764,2019,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
7692,2019-01-12,98393960,29,0.0,0.007005076142131979,0.0023159025307108805,0.2552552552552553,1.0,0.8,0.006384543388153496,2019,1,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
3440,2019-01-13,33590014,15,0.0,0.05177664974619289,0.017117540444384776,0.05905905905905905,0.8,1.0,0.02112581895975398,2019,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
5330,2019-01-13,96617596,56,1.0,0.8743147208121826,0.8753440289991272,0.3203203203203203,1.0,0.8,0.8758523866827115,2019,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
5663,2019-01-13,64683713,54,0.0,0.909238578680203,0.30059743572531383,0.07807807807807807,1.0,1.0,0.3034496590453269,2019,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1385,2019-01-13,46115974,96,1.0,0.3628426395939086,0.36806068335906555,0.6036036036036035,0.6000000000000001,0.4,0.37063778580024065,2019,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False
9551,2019-01-14,27274542,61,0.0,0.701725888324873,0.23199301872860306,0.18718718718718716,0.0,0.0,0.0,2019,1,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
